2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:07,135 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:07,277 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:07,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:07,648 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:07,769 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:08,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:08,265 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:08,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:08,905 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:09,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:09,302 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:09,577 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:09,830 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,091 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,224 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,478 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,633 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:10,945 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:11,072 - ERROR - Error storing raw data: unconverted data remains: +00:00
2024-11-20 08:16:11,072 - INFO - Scraped and stored 100 messages from DoctorsET.
2024-11-20 08:16:11,457 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:11,703 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:11,832 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:12,083 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:12,200 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:12,439 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:12,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:12,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:13,159 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
