2024-11-19 10:25:31,394 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:34,625 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:36,511 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:44,040 - ERROR - Failed to connect to Telegram: The phone number is invalid (caused by SendCodeRequest)
2024-11-19 10:25:50,809 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:50,810 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:50,908 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:57,966 - INFO - Phone migrated to 4
2024-11-19 10:25:58,109 - INFO - Reconnecting to new data center 4
2024-11-19 10:25:58,329 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-19 10:25:58,330 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:58,331 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-19 10:25:59,972 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-19 10:26:16,571 - INFO - Successfully connected to Telegram.
2024-11-19 10:26:51,291 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:51,615 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:51,807 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:52,175 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:52,534 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:52,704 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:52,846 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:53,116 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:53,250 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:53,391 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:53,643 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:53,922 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:54,199 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:54,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:54,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:54,822 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:55,134 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:55,499 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:55,834 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:55,985 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:56,155 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:56,326 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:56,518 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:56,847 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:57,008 - INFO - Scraped 100 messages from DoctorsET.
2024-11-19 10:26:57,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:57,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:57,991 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,303 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,488 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,658 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,786 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:58,910 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,028 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,146 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,287 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,568 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,687 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:59,866 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,032 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,201 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,337 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,541 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,668 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,799 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:00,940 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:01,067 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:01,220 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:01,768 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,300 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,425 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,581 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,704 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:02,951 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,214 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,367 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,616 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,863 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:03,993 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:04,257 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:04,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:04,885 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,166 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,449 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,561 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,677 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,825 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:05,936 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,059 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,367 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,661 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,790 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:06,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,207 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,610 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,723 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,869 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:07,998 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,261 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,377 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,600 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,727 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,841 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:08,958 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,097 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,222 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,339 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,493 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,646 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:09,795 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:10,332 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:10,671 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:11,503 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:11,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:11,973 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,137 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,385 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,500 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,630 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,756 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:12,876 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:13,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:13,369 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:13,746 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:13,865 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:13,989 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:14,106 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:14,347 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:14,595 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:14,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:14,876 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,007 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,161 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,471 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,609 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,755 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:15,909 - INFO - Scraped 100 messages from lobelia4cosmetics.
2024-11-19 10:27:16,351 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:16,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:16,680 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:16,842 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,006 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,173 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,493 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,617 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,769 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:17,911 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:18,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:18,301 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:18,449 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:18,585 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:18,809 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:19,080 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:19,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:19,634 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:19,912 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:20,066 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:20,217 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
